0001013A,毛泽东思想和中国特色社会主义理论体系概论
0001013B,毛泽东思想和中国特色社会主义理论体系概论
0001021A,思想道德修养与法律基础
0001031A,中国近现代史纲要
0001041A,马克思主义基本原理
00030101,足球AⅠ（男）
00030102,足球AⅡ（男）
00030103,足球BⅠ（男）
00030104,足球BⅡ（男）
02010501,高等数学ⅠA
02010502,高等数学ⅠB
02010505,工程数学I
02010506,工程数学Ⅱ
02020106,普通物理IA
02020107,普通物理IB
02020304,普通物理实验IIA
02020305,普通物理实验IIB
06040503,电工电子技术Ⅱ
07000000,毕业论文
07000101,汇编语言程序设计
07000104,数字逻辑
07000105,计算机组成与结构
07000201,数据结构
07000202,数据库原理
07000203,计算机操作系统原理
07000204,编译原理
07000205,软件工程
07000213,面向对象程序设计方法
07000214,算法设计与分析
07000217,离散数学Ⅱ
07000218,高级程序设计语言
07000219,数据结构课程设计
07000224,软件设计方法
07000231,Java程序设计
07000242,数据挖掘技术
07000244,计算机科学导论
07000245,设计模式
07000255,Web开发基础
07000260,Java企业级开发
07000261,软件测试
07000268,软件综合课程设计
07000269,Android应用开发
07000301,计算机网络原理
07000314,数理逻辑
15060141,大学英语IA
15060142,大学英语IB
15060143,大学英语IC
15060144,大学英语ID
TX050017,中国古代法制史
TX310011,大学生就业指导与职业生涯规划
TX310015,化学与新能源
TX330098,人文物理
TX330108,现代战争博览
TX330137,科学史话
cxsj070001,创新实践成果
00030111,排球BⅠ（男）
00030112,排球BⅡ（男）
00030157,武术散打AⅠ（男）
00030158,武术散打AⅡ（男）
TX010007,文学作品赏析与写作
TX090013,《三国演义》解读
TX160010,创新思维与能力培养
TX330011,唐诗宋词名篇导读
TX330034,环境与健康
TX330086,数据库技术
TX330171,生命科学导论
TX330981,国学背诵
00012501,形势与政策
00030125,田径、定向越野AⅠ（男）
00030126,田径、定向越野AⅡ（男）
TX330009,中国佛教文化
TX330010,东方文化概论
TX330030,生化危机
TX330120,Photoshop平面设计
TX330197,周易哲学与中国文学
00030107,篮球BⅠ（男）
00030108,篮球BⅡ（男）
TX330045,计算机网络技术与应用
TX330057,感染性疾病及其预防
TX330087,零起点PHP专业Web网站设计与开发
TX330166,英美诗歌鉴赏(双语)
TX330980,诗词背诵
00030143,健美操BⅠ（女）
00030144,健美操BⅡ（女）
00030181,乒乓球AⅠ（女）
00030182,乒乓球AⅡ（女）
TX330026,成功的心理储备
TX330078,网页设计
TX330104,互联网实用技术
TX330181,Visual C++ 程序设计
TX330182,虚拟现实语言程序设计
ky070001,计算机操作系统原理
ky070002,计算机组成与结构
ky070003,计算机网络原理
ky070004,数据结构
00030183,乒乓球BⅠ（女）
00030184,乒乓球BⅡ（女）
00030185,田径、定向越野AⅠ（女）
00030186,田径、定向越野AⅡ（女）
S1000002,财政学
S1000003,会计学原理
S1000004,西方经济学（微观）
S1000005,国际经济学
S1000006,统计学
S1000007,西方经济学（宏观）
S1000009,银行管理学
S1000010,国际金融实务
S1000011,投资学
S1000012,基金管理
S1000014,公司财务管理
S1000015,个人理财
S1000018,货币金融学
S1000019,计量经济学
S1000020,二专业毕业论文
S1000021,经济法
S1000022,国际贸易实务
TX330018,马克思主义中国化的历史进程及其规律
TX330047,世界经济与大国战略
TX330069,桥牌与逻辑思维
TX330183,中国近代经济史
TX330214,马克思主义理论与当代社会实践专题
00030175,排球BⅠ（女）
00030176,排球BⅡ（女）
TX330080,ASP动态网页程序设计
TX330133,心理健康与指导
TX330207,大学生廉洁教育专题
TX330228,纺织品和服装消费心理学
TX330083,互联网与计算机系统安全操作实用指南
TX330085,数码时代：影像与我
TX330102,发明与创造史话
TX330302,《周易》解读
TX330082,影视动画设计
TX330139,动态网站的设计与开发
TX330237,文化人类学
TX330002,运动、营养与健康
TX330052,茶文化
TX330027,创新思维与能力培养
TX330111,大学生就业指导与职业生涯规划
TX330020,社会主义新农村建设典型案例
TX330042,管理学
TX330127,世界民族与宗教
TX330191,现代企业管理
TX330190,走进纳米世界
TX330196,大学生心理健康与成才
TX330053,人体生理学
TX330225,临床药学
TX330021,传统体育养生学
TX330044,经济管理理论与实践
TX330117,世界近代史概论
TX330135,材料世界漫谈
TX330173,葡萄酒文化鉴赏
TX330306,西方电影史
TX330092,图像处理与分析导论
TX330012,大学语文
TX330013,中国现代文学经典赏读
TX330241,西方文化概论
TX330079,C语言程序设计
TX330081,Photoshop数码合成与欣赏
TX330097,颜色应用技术
TX330226,生活科技-发现与解密
TX330091,计算机发展史及前景：从历届图灵奖说起
TX330093,Android智能平台软件开发技术
TX330136,环境化学与健康
TX330077,服饰美学
TX330129,社会心理学研究
00030137,体操AⅠ（男）
00030138,体操AⅡ（男）
TX330109,计算机组装与维护
TX330003,证券投资研究
TX330058,饮食与健康
TX330305,商务礼仪
00030105,篮球AⅠ（男）
00030106,篮球AⅡ（男）
TX330106,汽车文化
TX330502,高级英语
TX330503,数学一
TX330994,创意策划(上）
TX330046,高等教育学
TX330147,《三国演义》解读
0001011A,毛泽东思想、邓论和“三个代表”思想概论
0001011B,毛泽东思想、邓论和“三个代表”思想概论
00030109,排球AⅠ（男）
00030110,排球AⅡ（男）
06040520,电工电子技术ⅡB
06040521,电工电子实验ⅡB
07000237,面向对象程序设计方法课程设计
TX000101,世界宗教概论
TX030034,电影艺术美学
TX040403,计算机网络技术与应用
TX070005,Photoshop数码合成与欣赏
